Ticker,Date,Time,Open,High,Low,Close,Volume,OpenInterest 
BANKNIFTY-I,2016-08-01,11:49:59,19091.5996,19093.0000,19089.9492,19090.0000,2560,1913720
BANKNIFTY-I,2016-08-01,11:50:59,19090.0000,19099.9004,19090.0000,19097.9492,5640,1913720
BANKNIFTY-I,2016-08-01,11:51:59,19097.0000,19097.0000,19093.8008,19095.0000,1560,1914160
BANKNIFTY-I,2016-08-01,11:52:59,19095.0000,19095.0000,19085.5508,19090.5508,1120,1914160
BANKNIFTY-I,2016-08-01,11:53:59,19090.5508,19092.0996,19080.0996,19080.0996,1240,1914160
BANKNIFTY-I,2016-08-01,11:54:59,19080.0996,19085.2500,19080.0996,19080.2500,4520,1916520
BANKNIFTY-I,2016-08-01,11:55:59,19080.2500,19084.0000,19072.0000,19079.9004,5480,1916520
BANKNIFTY-I,2016-08-01,11:56:59,19076.5996,19079.9492,19073.3008,19073.3008,1720,1916520
BANKNIFTY-I,2016-08-01,11:57:59,19073.2500,19076.0000,19068.1992,19068.1992,8000,1921440
BANKNIFTY-I,2016-08-01,11:58:59,19070.0000,19070.0000,19023.0996,19030.0000,75520,1921440
BANKNIFTY-I,2016-08-01,11:59:59,19028.9492,19028.9492,18902.1992,18946.9492,151160,1921440
BANKNIFTY-I,2016-08-01,12:00:59,18947.9004,18948.9004,18853.4004,18880.0000,107360,1930520
BANKNIFTY-I,2016-08-01,12:01:59,18879.1504,18885.5996,18870.0000,18881.4492,68760,1930520
BANKNIFTY-I,2016-08-01,12:02:59,18882.1504,18907.5508,18881.0508,18897.4492,37880,1930520
BANKNIFTY-I,2016-08-01,12:03:59,18898.5996,18901.5996,18883.3008,18895.7500,32600,1950080
BANKNIFTY-I,2016-08-01,12:04:59,18894.6504,18899.9492,18872.0996,18894.1992,33600,1950080
BANKNIFTY-I,2016-08-01,12:05:59,18896.0508,18900.0000,18885.1992,18900.0000,17960,1950080
BANKNIFTY-I,2016-08-01,12:06:59,18900.0000,18923.9004,18897.0000,18918.9492,22400,1954160
BANKNIFTY-I,2016-08-01,12:07:59,18917.4004,18920.0000,18910.0508,18910.0508,14160,1954160
BANKNIFTY-I,2016-08-01,12:08:59,18910.0000,18915.0000,18903.6504,18909.3496,10320,1954160
BANKNIFTY-I,2016-08-01,12:09:59,18910.0000,18918.6504,18900.0996,18913.5000,11880,1945400
BANKNIFTY-I,2016-08-01,12:10:59,18912.6992,18920.3496,18909.9492,18919.5508,8760,1945400
BANKNIFTY-I,2016-08-01,12:11:59,18915.7500,18919.6992,18910.3008,18911.0000,6840,1945400
BANKNIFTY-I,2016-08-01,12:12:59,18911.0000,18918.9492,18905.0000,18905.0000,5680,1946320
BANKNIFTY-I,2016-08-01,12:13:59,18905.0000,18911.8496,18900.0000,18900.0996,10960,1946320
BANKNIFTY-I,2016-08-01,12:14:59,18900.6992,18900.6992,18882.0508,18892.5508,22920,1946320
BANKNIFTY-I,2016-08-01,12:15:59,18895.0000,18895.0000,18877.0000,18881.0000,19080,1951040
BANKNIFTY-I,2016-08-01,12:16:59,18885.5996,18889.9492,18880.0000,18885.0000,10400,1951040
BANKNIFTY-I,2016-08-01,12:17:59,18885.0000,18888.9492,18863.0508,18865.0000,18680,1951040
BANKNIFTY-I,2016-08-01,12:18:59,18863.0996,18885.0000,18860.0508,18882.6504,18960,1953080
BANKNIFTY-I,2016-08-01,12:19:59,18882.6504,18882.6504,18871.0000,18875.0000,6320,1953080
BANKNIFTY-I,2016-08-01,12:20:59,18875.0000,18875.3496,18860.0000,18875.0000,15800,1953080
BANKNIFTY-I,2016-08-01,12:21:59,18875.0996,18888.0000,18875.0996,18884.9492,4600,1958200
BANKNIFTY-I,2016-08-01,12:22:59,18884.9492,18885.5508,18875.0000,18885.5508,6480,1958200
BANKNIFTY-I,2016-08-01,12:23:59,18879.4492,18888.5508,18872.5996,18875.0000,13040,1958200
BANKNIFTY-I,2016-08-01,12:24:59,18875.0000,18875.0000,18825.0000,18830.0000,69720,1958520
BANKNIFTY-I,2016-08-01,12:25:59,18825.0000,18850.0000,18821.0000,18841.3008,45280,1958520
BANKNIFTY-I,2016-08-01,12:26:59,18843.9004,18854.9492,18843.4004,18850.0000,13640,1958520
BANKNIFTY-I,2016-08-01,12:27:59,18848.1504,18851.0000,18830.0000,18838.0508,21720,1985600
BANKNIFTY-I,2016-08-01,12:28:59,18838.0508,18839.0000,18801.0000,18805.9492,42440,1985600
BANKNIFTY-I,2016-08-01,12:29:59,18802.4492,18806.9492,18788.0996,18805.4492,50960,1985600
BANKNIFTY-I,2016-08-01,12:30:59,18800.0000,18800.0000,18751.6504,18764.1992,52720,1996240
BANKNIFTY-I,2016-08-01,12:31:59,18768.0996,18788.9492,18767.0508,18783.1504,23760,1996240
BANKNIFTY-I,2016-08-01,12:32:59,18781.5996,18801.9492,18781.5996,18800.7500,17800,1996240
BANKNIFTY-I,2016-08-01,12:33:59,18800.8008,18808.0000,18795.0508,18804.9004,18000,2004560
BANKNIFTY-I,2016-08-01,12:34:59,18804.0000,18820.0000,18801.3008,18820.0000,20440,2004560
